Cylcle,Condition,Strain,Rep 1,Rep 2,Rep 3,Mean,SD
5,Static,KORH4 C1,3.932405567,5.347181009,5.584962406,4.954849661,0.515809701
5,Static,KOPfs25 C3,8.816129032,5.361305361,5.950124688,6.709186361,1.067096156
5,Static,KOEBA181 C1,4.52916074,3.84498094,5.429280397,4.601140692,0.458761749
5,Static,KOEBA175 C6,9.241622575,17.56571429,11.3960396,12.73445882,2.49440375
5,Static,KORH2a C1,0,4.808695652,5.278461538,3.36238573,1.686653328
5,Static,KOP230P C5 ,2.723136496,3.379061372,4.725490196,3.609229355,0.589374827
5,Static,KORh2a C3,5.114331723,4.298214286,4.417832168,4.610126059,0.254456691
5,Static,KORH1 C1,3.177489177,4.591346154,4.639691715,4.136175682,0.479546377
5,Static,KOPfs25 C1,6.633251834,4.931283906,6.09280303,5.88577959,0.502101496
5,Static,KOEBA140 C4 ,8.58436214,8.805369128,7.941176471,8.443635913,0.259204
5,Static,KOEBA181 C2,3.898428053,4.191756272,5.787401575,4.625861967,0.586910288
5,Static,KOP230P C3 ,3.748898678,4.604422604,4.778561354,4.377294212,0.318193749
5,Static,NF54 ,4.556318681,4.28988764,5.657963446,4.834723256,0.418744028
6,Static,Barseq ,6.810285714,9.415971395,7.900406504,8.042221204,0.755531385
6,Static,KOEBA140 C3 ,6.467202142,7.315352697,5.894117647,6.558890829,0.412828608
6,Static,KORH4 C1,4.277364506,4.686528497,6.602230483,5.188707829,0.716563213
6,Static,KOPfs25 C3,5.184848485,5.294438386,5.590846047,5.356710973,0.121266801
6,Static,KOEBA181 C1,3.331953642,3.495378928,3.895687061,3.574339877,0.167456428
6,Static,KOEBA175 C6,11.39123103,9.101167315,11.67371202,10.72203679,0.814526911
6,Static,KORH2a C1,0,4.162032598,4.869306931,3.01044651,1.519007394
6,Static,KOP230P C5 ,2.32112274,3.233243968,3.531835206,3.028733971,0.364154007
6,Static,KORh2a C3,3.974221267,4.855365474,3.566699124,4.132095288,0.38028866
6,Static,KORH1 C1,,4.083710407,3.144534779,3.614122593,0.469587814
6,Static,KOPfs25 C1,5.304106548,5.227772228,5.848787447,5.460222074,0.19552836
6,Static,KOEBA140 C4 ,6.541446208,6.370772947,7.971524288,6.961247814,0.507535304
6,Static,KOEBA181 C2,3.668803419,3.298533218,3.813333333,3.593556657,0.153298561
6,Static,KOP230P C3 ,3.257497415,3.369346734,4.366522367,3.664455505,0.352515237
6,Static,NF54 ,4.555555556,3.959446093,5.549525102,4.688175583,0.463781151
7,Static,Barseq ,6.189189189,4.826359833,6.691176471,5.902241831,0.557117391
7,Static,KOEBA140 C3 ,5.328018223,4.89,6.37195122,5.529989814,0.439560101
7,Static,KORH4 C1,3.66,3.966767372,2.62295082,3.41657273,0.406572404
7,Static,KOPfs25 C3,4.864541833,5.006097561,4.314516129,4.728385174,0.210930633
7,Static,KOEBA181 C1,2.672597865,2.629692833,2.875462392,2.725917697,0.07579121
7,Static,KOEBA175 C6,9.405737705,8.094170404,8.838993711,8.77963394,0.379778393
7,Static,KORH2a C1,,3.586021505,4.111888112,3.848954809,0.262933303
7,Static,KOP230P C5 ,2.628070175,1.816657027,2.454695222,2.299807475,0.24670528
7,Static,KORh2a C3,3.664529915,3.232445521,2.842307692,3.246427709,0.237458047
7,Static,KORH1 C1,,2.666126418,2.504087193,2.585106806,0.081019612
7,Static,KOPfs25 C1,6.125874126,4.849315068,5.350364964,5.441851386,0.371339055
7,Static,KOEBA140 C4 ,6.423728814,5.26450116,5.67061144,5.786280471,0.339601081
7,Static,KOEBA181 C2,2.341001353,2.607192254,3.745644599,2.897946069,0.430758632
7,Static,KOP230P C3 ,1.988812392,2.371293001,2.807357212,2.389154202,0.23646224
7,Static,NF54 ,2.817848411,2.959424084,3.666666667,3.14797972,0.262543983
8,Static,Barseq ,5.89047619,4.366869919,6.300621118,5.519322409,0.588264332
8,Static,KOEBA140 C3 ,3.772406848,4.250955414,3.541968912,3.855110391,0.208802436
8,Static,KORH4 C1,2.399463807,2.758024691,2.740549828,2.632679442,0.116716883
8,Static,KOPfs25 C3,3.995279308,4.588661037,4.675641026,4.419860457,0.213770316
8,Static,KOEBA181 C1,2.428739003,2.363636364,2.698483497,2.496952954,0.102502859
8,Static,KOEBA175 C6,6.85198556,11.28846154,11.11854103,9.752996044,1.451334399
8,Static,KORH2a C1,,2.775333857,3.754716981,3.265025419,0.489691562
8,Static,KOP230P C5 ,1.545270612,1.636161706,2.084369449,1.755267256,0.166629817
8,Static,KORh2a C3,2.561556791,3.23510467,2.525100402,2.773920621,0.230832055
8,Static,KORH1 C1,,2.133654425,1.900718485,2.017186455,0.11646797
8,Static,KOPfs25 C1,4.991084695,4.334455668,4.749574106,4.691704823,0.191748151
8,Static,KOEBA140 C4 ,5.234710744,4.325632563,5.676646707,5.078996671,0.397699618
8,Static,KOEBA181 C2,2.271656854,2.354077253,2.785340314,2.470358141,0.159278172
8,Static,KOP230P C3 ,1.63438914,2.318627451,2.405363985,2.119460192,0.243824562
8,Static,NF54 ,2.381804044,2.511609287,3.547928994,2.813780775,0.368981732
1,Shaking,Barseq ,3.411594203,,3.907407407,3.659500805,0.247906602
1,Shaking,KOEBA140 C3 ,2.315909091,,2.651851852,2.483880471,0.16797138
1,Shaking,KORH4 C1,3.004807692,,3.461734694,3.233271193,0.228463501
1,Shaking,KOPfs25 C3,3.614395887,4.658146965,4.850993377,4.374512076,0.384113655
1,Shaking,KOEBA181 C1,3.949002217,4.760493827,4.961340206,4.556945417,0.309451675
1,Shaking,KOEBA175 C6,3.203539823,2.885714286,3.76,3.283084703,0.255499131
1,Shaking,KORH2a C1,3.9002849,4.070381232,5,4.323555377,0.341768043
1,Shaking,KOP230P C5 ,2.617647059,3.984962406,3.877598152,3.493402539,0.43897324
1,Shaking,KORh2a C3,3.495268139,3.42816092,3.336956522,3.420128527,0.045876761
1,Shaking,KORH1 C1,1.279661017,1.634615385,2.242857143,1.719044515,0.28123709
1,Shaking,KOPfs25 C1,3.489559165,4.48655914,4.653521127,4.20987981,0.363371
1,Shaking,KOEBA140 C4 ,2.612804878,2.547619048,2.547550432,2.569324786,0.021740055
1,Shaking,KOEBA181 C2,,3.850287908,4.375796178,4.113042043,0.262754135
1,Shaking,KOP230P C3 ,,3.572769953,3.076086957,3.324428455,0.248341498
1,Shaking,NF54 ,,3.325581395,3.65248227,3.489031832,0.163450437
2,Shaking,Barseq ,4.210526316,3.400966184,3.428571429,3.680021309,0.265372181
2,Shaking,KOEBA140 C3 ,2.150684932,1.874213836,2.957264957,2.327387908,0.324893772
2,Shaking,KORH4 C1,2.866666667,2.916666667,2.65503876,2.812790698,0.080185733
2,Shaking,KOPfs25 C3,4.941176471,5.872881356,4.884920635,5.23299282,0.320356147
2,Shaking,KOEBA181 C1,4.310679612,5.625,4.906593407,4.947424339,0.379960478
2,Shaking,KOEBA175 C6,4.970149254,5,4.067073171,4.679074141,0.306121794
2,Shaking,KORH2a C1,4.088028169,3.314199396,5.091346154,4.164524573,0.514441906
2,Shaking,KOP230P C5 ,2.39047619,3.152597403,3.129139073,2.890737555,0.250222333
2,Shaking,KORh2a C3,2.915254237,2.962085308,2.531400966,2.802913504,0.136427735
2,Shaking,KORH1 C1,3.590909091,2.352941176,2.4375,2.793783422,0.399309632
2,Shaking,KOPfs25 C1,3.830618893,4.059649123,5.430434783,4.440234266,0.499495248
2,Shaking,KOEBA140 C4 ,2.130718954,2.333333333,1.841666667,2.101906318,0.1426612
2,Shaking,KOEBA181 C2,4.381656805,4.520942408,4.887788779,4.596795997,0.150950013
2,Shaking,KOP230P C3 ,2.03968254,2.761609907,2.717391304,2.506227917,0.233621676
2,Shaking,NF54 ,3.047619048,3.064935065,3.124183007,3.078912373,0.023180695
3,Shaking,Barseq ,4.267581475,5.163561077,4.469586375,4.633576309,0.271332751
3,Shaking,KOEBA140 C3 ,2.305555556,2.13442623,1.923664122,2.121215302,0.110440275
3,Shaking,KORH4 C1,2.673239437,2.939244663,2.814307458,2.808930519,0.076836143
3,Shaking,KOPfs25 C3,5.030748663,5.237113402,5.247216036,5.1716927,0.070532338
3,Shaking,KOEBA181 C1,5.98313253,6.45505618,5.915492958,6.117893889,0.169708167
3,Shaking,KOEBA175 C6,3.393526405,2.329376855,2.842433697,2.855112319,0.307258918
3,Shaking,KORH2a C1,4.017656501,4.477707006,4.394782609,4.296715372,0.14156801
3,Shaking,KOP230P C5 ,3.25,3.351515152,2.598159509,3.06655822,0.236025667
3,Shaking,KORh2a C3,3.816666667,2.639655172,3.283224401,3.246515413,0.340269343
3,Shaking,KORH1 C1,3.301369863,3.222222222,3.656716418,3.393436168,0.133608202
3,Shaking,KOPfs25 C1,5.103937008,4.157560356,5.537383178,4.93296018,0.407391115
3,Shaking,KOEBA140 C4 ,2.282685512,1.858695652,2.115226337,2.085535834,0.123292329
3,Shaking,KOEBA181 C2,5.762931034,5.776785714,6.536912752,6.025543167,0.255716071
3,Shaking,KOP230P C3 ,3.154150198,3.179104478,4.298642534,3.543965736,0.377407154
3,Shaking,NF54 ,2.5944334,2.662650602,3.434090909,2.897058304,0.269237449
4,Shaking,Barseq ,4.860113422,4.405498282,5.825112108,5.03024127,0.418542498
4,Shaking,KOEBA140 C3 ,2.882926829,1.824726135,2.426356589,2.378003184,0.306431459
4,Shaking,KORH4 C1,2.693516699,3.46875,3.371212121,3.177826274,0.243786267
4,Shaking,KOPfs25 C3,5.105029586,6.678638941,6.387840671,6.057169733,0.483414609
4,Shaking,KOEBA181 C1,6.639751553,6.773672055,7.108932462,6.840785357,0.139535931
4,Shaking,KOEBA175 C6,4.715025907,4.910025707,4.33045977,4.651837128,0.170263311
4,Shaking,KORH2a C1,4.723893805,5.318785579,5.376451078,5.139710154,0.208573532
4,Shaking,KOP230P C5 ,2.826923077,3.569131833,3.841750842,3.412601917,0.303229868
4,Shaking,KORh2a C3,3.332631579,3.203187251,3.475362319,3.337060383,0.078601373
4,Shaking,KORH1 C1,2.411504425,1.701587302,2.194029851,2.102373859,0.209996981
4,Shaking,KOPfs25 C1,4.879788639,7.56892779,6.162436548,6.203717659,0.776561962
4,Shaking,KOEBA140 C4 ,1.512280702,1.72305141,1.515625,1.58365237,0.069706205
4,Shaking,KOEBA181 C2,6.064377682,6.309401709,7.985680191,6.786486528,0.603754441
4,Shaking,KOP230P C3 ,3.253968254,4.166134185,3.373716632,3.597939691,0.286192625
4,Shaking,NF54 ,3.402409639,4.076190476,3.307392996,3.595331037,0.24198925
5,Shaking,Barseq ,5.185741088,5.221498371,6.308661417,5.571966959,0.368491831
5,Shaking,KOEBA140 C3 ,3.351020408,1.993174061,3.373626374,2.905940281,0.456429763
5,Shaking,KORH4 C1,3.12945591,2.84,3.457912458,3.142456123,0.178494356
5,Shaking,KOPfs25 C3,5.86121673,7.278728606,6.716236722,6.618727353,0.412094665
5,Shaking,KOEBA181 C1,5.756756757,8.179245283,6.572016461,6.836006167,0.711660169
5,Shaking,KOEBA175 C6,5.122807018,4.792,6.082802548,5.332536522,0.387097168
5,Shaking,KORH2a C1,4.671936759,5.813880126,6.054363376,5.51339342,0.426417258
5,Shaking,KOP230P C5 ,3.146666667,3.819602273,3.687953556,3.551407498,0.20590791
5,Shaking,KORh2a C3,3.930787589,4.019522777,4.791044776,4.247118381,0.273166876
5,Shaking,KORH1 C1,1.793296089,2.576923077,2.384236453,2.251485207,0.235750563
5,Shaking,KOPfs25 C1,6.201535509,7.803607214,6.865030675,6.956724466,0.464745181
5,Shaking,KOEBA140 C4 ,2.141025641,,2.885714286,1.675579976,0.372344322
5,Shaking,KOEBA181 C2,5.960600375,6.386029412,7.713942308,6.686857365,0.528023066
5,Shaking,KOP230P C3 ,3.21,4.018032787,4.006711409,3.744914732,0.267477333
